Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"NRW.BANK 0,75% 18/28",NWB0AF,"93,87",21.01.25 11:20,0,"0,00","0,75%",Euro,"2,52%"
"NRW.BANK 0,625% 19/29",NWB0AG,"92,17",21.01.25 12:58,0,"-0,10","0,63%",Euro,"2,56%"
"NRW.BANK 0,000% 19/29",NWB0AH,"88,16",21.01.25 09:21,0,"0,00",-,Euro,"2,58%"
"NRW.BANK 0,000% 20/30",NWB0AJ,"87,36",21.01.25 17:08,0,"0,05",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AL,"84,64",21.01.25 09:21,0,"0,04",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AN,"83,21",21.01.25 09:21,0,"0,04",-,Euro,-
"NRW.BANK 0,25% 22/32",NWB0AQ,"82,80",21.01.25 08:00,0,"0,05","0,25%",Euro,-
"NRW.BANK 1,625% 22/32",NWB0AR,"91,46",21.01.25 09:24,0,"0,05","1,63%",Euro,-
NRW.BANK 3% 23/30,NWB0AU,"101,50",21.01.25 11:20,0,"0,00","3,00%",Euro,-
"Air Liquide Finance S.A. 0,375% 21/31",A3KRNQ,"84,67",21.01.25 09:21,0,"0,12","0,38%",Euro,-
"Scatec ASA 11,29% 23/27",A3LEFQ,"107,00",25.04.24 16:20,0,"0,00","11,29%",Norwegische Kronen,-
"Asian Development Bank (ADB) 1,75% 16/26",A18429,"95,91",21.01.25 09:21,0,"0,01","1,75%",US-Dollar,"4,40%"
"Banco BTG Pactual S.A. 2,75% 21/26",A287JN,"97,01",21.01.25 09:21,0,"0,79","2,75%",US-Dollar,-
"International Bank for Reconstruction and Development 3,125% 18/25",A2RUJE,"98,75",21.01.25 08:00,0,"-0,01","3,13%",US-Dollar,"4,02%"
Klabin Austria GmbH 7% 19/49,A2R0AJ,"100,47",21.01.25 09:21,0,"-0,01","7,00%",US-Dollar,-
"Suzano Austria GmbH 5,75% 16/26",A1833U,"100,18",21.01.25 12:58,0,"-0,04","5,75%",US-Dollar,-
"International Bank for Reconstruction and Development 5,25% 15/25",A18268,"97,61",21.01.25 11:20,0,"-0,26","5,25%",Mexikanische Pesos,"10,13%"
"Merlin Properties SOCIMI S.A. 1,75% 17/25",A19HY7,"99,08",21.01.25 09:21,0,"0,00","1,75%",Euro,"1,14%"
"European Investment Bank (EIB) 0,875% 18/25",A19U9P,"99,67",21.01.25 09:21,0,"0,00","0,88%",Schwedische Kronen,-
"Polen, Republik 1,125% 18/26",A19VY7,"97,89",21.01.25 11:20,0,"0,04","1,13%",Euro,"2,32%"
"European Investment Bank (EIB) 2,875% 18/25",A19ZWJ,"99,42",21.01.25 09:21,0,"0,01","2,88%",US-Dollar,"3,57%"
"Iberdrola Finanzas S.A. 1,25% 18/26",A192S8,"97,54",21.01.25 09:21,0,"0,07","1,25%",Euro,"2,68%"
"Kreditanstalt für Wiederaufbau 0,5% 18/26",A2LQLU,"97,00",21.01.25 11:20,0,"0,00","0,50%",Euro,"2,30%"
