Name,WKN
"European Investment Bank (EIB) 1,75% 16/26",A18W1Y
"Banco Santander S.A. 1,5% 16/26",A18W1Z
BNG Bank N.V. 1% 16/26,A18WM4
"Irland, Republik 1% 16/26",A18WS0
"Swire Properties MTN Financing Ltd. 3,625% 16/26",A18WSR
"Norwegen, KÃ¶nigreich 1,5% 16/26",A18X56
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 1,5% 16/26",A18X5E
"Ã–sterreich, Republik 0,75% 16/26",A18X6P
"Ã–sterreich, Republik 1,5% 16/47",A18X6Q
"Apple Inc. 4,5% 16/36",A18X82
"Apple Inc. 4,65% 16/46",A18X83
"Commonwealth Bank of Australia 1,625% 16/31",A18XKD
CNP Assurances S.A. 6% 16/49,A18XUC
The Goldman Sachs Group Inc. 3% 16/31,A18XVM
"UBS Group AG 1,25% 16/26",A18XZK
"CoÃ¶peratieve Rabobank U.A. 1,25% 16/26",A18Y8J
"Deutsche Telekom International Finance B.V. 1,5% 16/28",A18Y8M
"Deutsche Bahn Finance GmbH 0,75% 16/26",A18YCK
"Finnland, Republik 0,5% 16/26",A18YM5
"Citigroup Inc. 4,6% 16/26",A18YNF
