URL,ISIN,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,Letzter Preis,Veränderung zum Vortag,Letzter Handel,Geld,Brief,Modified Duration,Kupon,Emittent,Branche,Fälligkeit,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,Spezialist,Handelsmodell,Emissionsdatum,Emissionsvolumen,Umlaufendes Volumen,Emissionswährung,Depotwährung,Notierungsaufnahme,Emission_year_2020.0,Emission_year_2021.0,Emission_year_2022.0,Emission_year_2023.0,Emission_year_2024.0,Emission_year_2025.0
https://www.boerse-frankfurt.de/anleihe/de000dw6c1b0-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-2-65-23-26,de000dw6c1b0,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,2-65-23-26,2.65,23,26,0,"100,13","0,00%",,Brief,,"0,897",26.5,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"02,02,2026",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2023-02-02,250000000.0,250000000.0,EUR,EUR,"03,02,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000dw6c1h7-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-3-23-29,de000dw6c1h7,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,3-23-29,3.0,23,29,0,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000hel0cw2-landesbank-hessen-thueringen-girozentrale-2-615-25-31,de000hel0cw2,landesbank-hessen-thueringen-girozentrale,2-615-25-31,2.615,25,31,0,"98,00","0,15%",,Brief,,5247,26.15,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"30,01,2031",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2025-01-30,100000000.0,3699000.0,EUR,EUR,"30,01,2025",False,False,False,False,False,True
https://www.boerse-frankfurt.de/anleihe/de000hel0d88-landesbank-hessen-thueringen-girozentrale-3-25-31,de000hel0d88,landesbank-hessen-thueringen-girozentrale,3-25-31,3.0,25,31,0,"99,05","0,25%",,Brief,,4574,30,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"30,01,2031",,,Nein,50000.0,BAADER BANK AG,Fortlaufende Auktion,2025-01-30,100000000.0,100000000.0,EUR,EUR,"30,01,2025",False,False,False,False,False,True
https://www.boerse-frankfurt.de/anleihe/de000hlb70e0-landesbank-hessen-thueringen-girozentrale-1-22-37,de000hlb70e0,landesbank-hessen-thueringen-girozentrale,1-22-37,1.0,22,37,0,"78,80","0,51%",,Brief,,,10,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"09,03,2037",Special call,2029-03-09,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2022-03-09,25000000.0,25000000.0,EUR,EUR,"09,03,2022",False,False,True,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000lb2bea9-landesbank-baden-wuerttemberg-0-22-21-28,de000lb2bea9,landesbank-baden-wuerttemberg,0-22-21-28,0.22,21,28,0,"90,86","0,18%",,Brief,,2911,"0,220%",Landesbank Baden-WÃ¼rttemberg,Pfandbriefe von Hypothekenbankenoder,"29,05,2028",,,Nein,50000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2021-05-28,24000000.0,24000000.0,EUR,EUR,"28,05,2021",False,True,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000lb2bec5-landesbank-baden-wuerttemberg-0-41-21-30,de000lb2bec5,landesbank-baden-wuerttemberg,0-41-21-30,0.41,21,30,0,"86,04","0,21%",,Brief,,4360,"0,410%",Landesbank Baden-WÃ¼rttemberg,Pfandbriefe von Hypothekenbankenoder,"28,05,2030",,,Nein,50000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2021-05-28,24000000.0,24000000.0,EUR,EUR,"28,05,2021",False,True,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000lb2bem4-landesbank-baden-wuerttemberg-0-03-21-26,de000lb2bem4,landesbank-baden-wuerttemberg,0-03-21-26,0.03,21,26,0,"96,39","0,07%",,Brief,,1159,"0,030%",Landesbank Baden-WÃ¼rttemberg,Pfandbriefe von Hypothekenbankenoder,"18,05,2026",,,Nein,50000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2021-05-17,24000000.0,24000000.0,EUR,EUR,"21,05,2021",False,True,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000lb2ben2-landesbank-baden-wuerttemberg-0-07-21-26,de000lb2ben2,landesbank-baden-wuerttemberg,0-07-21-26,0.07,21,26,0,"95,11","0,11%",,Brief,,1619,"0,070%",Landesbank Baden-WÃ¼rttemberg,Pfandbriefe von Hypothekenbankenoder,"17,11,2026",,,Nein,50000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2021-05-17,24000000.0,24000000.0,EUR,EUR,"21,05,2021",False,True,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000lb39ed4-landesbank-baden-wuerttemberg-4-875-24-28,de000lb39ed4,landesbank-baden-wuerttemberg,4-875-24-28,4.875,24,28,0,"101,23","0,26%",,Brief,,2465,48.75,Landesbank Baden-WÃ¼rttemberg,WÃ¤hrungsanleihen,"04,02,2028",,,,2000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2024-05-31,600000000.0,600000000.0,USD,USD,"23,05,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/xs2948048462-de-volksbank-n-v-4-125-24-35,xs2948048462,de-volksbank-n-v,4-125-24-35,4.125,24,35,0,"100,88","-0,08%",,Brief,,,41.25,"De Volksbank N,V,",WÃ¤hrungsanleihen,"27,11,2035",Special call,,Ja,100000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2024-11-27,500000000.0,500000000.0,EUR,EUR,"22,11,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/de000dfk0ch7-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-0-32-20-30,de000dfk0ch7,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,0-32-20-30,0.32,20,30,0,"87,39","0,22%",,Brief,,4585,"0,320%",DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"22,07,2030",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2020-07-22,10000000.0,10000000.0,EUR,EUR,"23,07,2020",True,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000dw6c1d6-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-2-556-23-30,de000dw6c1d6,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,2-556-23-30,2.556,23,30,0,"98,66","0,10%",,Brief,,4160,25.57,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"25,01,2030",,,,100000.0,BAADER BANK AG,Fortlaufende Auktion,2023-01-25,30000000.0,30000000.0,EUR,EUR,"27,01,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000hel0cs0-landesbank-hessen-thueringen-girozentrale-2-75-25-32,de000hel0cs0,landesbank-hessen-thueringen-girozentrale,2-75-25-32,2.75,25,32,0,"97,25","0,26%",,Brief,,5122,27.5,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"23,01,2032",,,Nein,50000.0,BAADER BANK AG,Fortlaufende Auktion,2025-01-23,100000000.0,100000000.0,EUR,EUR,"23,01,2025",False,False,False,False,False,True
